INSERT INTO 'recipe' (result, first_ingredient, second_ingredient) VALUES ('fire', 'fire', 'alcohol'),
 ('fire', 'fire', 'coal'),
 ('water', 'ice', 'heat'),
 ('water', 'snow', 'heat'),
 ('bat', 'sky', 'mouse'),
 ('bat', 'air', 'mouse'),
 ('bat', 'atmosphere', 'mouse'),
 ('bat', 'bird', 'mouse'),
 ('bat', 'mouse', 'hummingbird'),
 ('atmosphere', 'air', 'planet'),
 ('atmosphere', 'air', 'sky'),
 ('bird', 'sky', 'animal'),
 ('bird', 'air', 'animal'),
 ('bird', 'sky', 'egg'),
 ('bird', 'air', 'egg'),
 ('bird', 'time', 'dinosaur'),
 ('bird', 'time', 'pterodactyl'),
 ('alchemist', 'human', 'gold'),
 ('alchemist', 'gold', 'philosophy'),
 ('alcohol', 'time', 'juice'),
 ('alcohol', 'wheat', 'fruit'),
 ('alcohol', 'wheat', 'juice'),
 ('alcohol', 'fruit', 'sun'),
 ('algae', 'water', 'plant'),
 ('algae', 'grass', 'pond'),
 ('algae', 'grass', 'lake'),
 ('algae', 'water', 'grass'),
 ('alien', 'life', 'space'),
 ('alien', 'life', 'galaxy'),
 ('alien', 'life', 'galaxy cluster'),
 ('alien', 'life', 'solar system'),
 ('alien', 'life', 'mars'),
 ('alien', 'life', 'mercury'),
 ('alien', 'life', 'jupiter'),
 ('alien', 'life', 'saturn'),
 ('allergy', 'dust', 'human'),
 ('allergy', 'human', 'pollen'),
 ('alligator', 'lizard', 'river'),
 ('alligator', 'swamp', 'lizard'),
 ('alligator', 'lizard', 'lake'),
 ('alpaca', 'mountain', 'sheep'),
 ('alpaca', 'sheep', 'mountain range'),
 ('alpaca', 'sheep', 'mountain goat'),
 ('angel', 'bird', 'human'),
 ('animal', 'life', 'land'),
 ('animal', 'life', 'forest'),
 ('animal', 'life', 'mountain'),
 ('animal', 'life', 'mountain range'),
 ('animal', 'life', 'beach'),
 ('animal', 'life', 'desert'),
 ('ant', 'grass', 'animal'),
 ('ant', 'grass', 'spider'),
 ('ant farm', 'farm', 'ant'),
 ('ant farm', 'ant', 'jar'),
 ('ant farm', 'glass', 'ant'),
 ('ant farm', 'farm', 'anthill'),
 ('ant farm', 'jar', 'anthill'),
 ('ant farm', 'farm', 'anthill'),
 ('antarctica', 'desert', 'snow'),
 ('antarctica', 'desert', 'ice'),
 ('antarctica', 'snow', 'continent'),
 ('antarctica', 'ice', 'continent'),
 ('anthill', 'house', 'ant'),
 ('anthill', 'ant', 'container'),
 ('anthill', 'ant', 'hill'),
 ('anthill', 'earth', 'ant'),
 ('anthill', 'ant', 'land'),
 ('anthill', 'ant', 'soil'),
 ('apron', 'fabric', 'cook'),
 ('apron', 'baker', 'fabric'),
 ('aquarium', 'water', 'glass'),
 ('aquarium', 'glass', 'fish'),
 ('aquarium', 'glass', 'puddle'),
 ('aquarium', 'glass', 'pond'),
 ('aquarium', 'fish', 'container'),
 ('archeologist', 'human', 'ruins'),
 ('archeologist', 'ruins', 'science'),
 ('archipelago', 'island', 'island'),
 ('archipelago', 'sea', 'island'),
 ('archipelago', 'ocean', 'island'),
 ('arctic', 'ocean', 'cold'),
 ('arctic', 'sea', 'cold'),
 ('armadillo', 'animal', 'armor'),
 ('armadillo', 'armor', 'dog'),
 ('armadillo', 'armor', 'cat'),
 ('armor', 'metal', 'fabric'),
 ('armor', 'steel', 'fabric'),
 ('arrow', 'wood', 'bow'),
 ('ash', 'fire', 'mineral'),
 ('ash', 'fire', 'plant'),
 ('ash', 'fire', 'tree'),
 ('ash', 'water', 'campfire'),
 ('ash', 'time', 'campfire'),
 ('ash', 'rain', 'campfire'),
 ('ash', 'storm', 'campfire'),
 ('ash', 'fire', 'grass'),
 ('ash', 'phoenix', 'paper'),
 ('ash', 'campfire', 'paper'),
 ('ash', 'fire', 'paper'),
 ('ash', 'sun', 'vampire'),
 ('ash', 'vampire', 'dawn'),
 ('aurora', 'sky', 'antarctica'),
 ('aurora', 'sky', 'arctic'),
 ('aurora', 'sun', 'atmosphere'),
 ('avalanche', 'earthquake', 'snow'),
 ('avalanche', 'wave', 'glacier'),
 ('avalanche', 'earthquake', 'glacier'),
 ('avalanche', 'earthquake', 'mountain'),
 ('avalanche', 'wave', 'mountain'),
 ('avalanche', 'earthquake', 'mountain range'),
 ('avalanche', 'wave', 'mountain range'),
 ('avalanche', 'glacier', 'sound'),
 ('avalanche', 'mountain', 'sound'),
 ('axe', 'blade', 'wood'),
 ('axe', 'tool', 'wood'),
 ('axe', 'stone', 'wood'),
 ('bacon', 'fire', 'pig'),
 ('bacon', 'campfire', 'pig'),
 ('bacon', 'fire', 'ham'),
 ('bacon', 'campfire', 'ham'),
 ('bacteria', 'life', 'primordial soup'),
 ('bacteria', 'life', 'small'),
 ('bacteria', 'mud', 'life'),
 ('baker', 'human', 'bakery'),
 ('baker', 'human', 'bread'),
 ('baker', 'human', 'banana bread'),
 ('baker', 'human', 'batter'),
 ('baker', 'human', 'pie'),
 ('baker', 'human', 'cookie'),
 ('baker', 'human', 'cookie dough'),
 ('baker', 'human', 'dough'),
 ('bakery', 'house', 'bread'),
 ('bakery', 'house', 'baker'),
 ('bakery', 'house', 'cake'),
 ('bakery', 'bread', 'city'),
 ('bakery', 'baker', 'city'),
 ('bakery', 'city', 'cake'),
 ('bakery', 'bread', 'village'),
 ('bakery', 'baker', 'village'),
 ('bakery', 'village', 'cake'),
 ('bakery', 'baker', 'container'),
 ('banana', 'fruit', 'monkey'),
 ('banana bread', 'bread', 'banana'),
 ('banana bread', 'dough', 'banana'),
 ('bandage', 'blood', 'fabric'),
 ('bandage', 'sword', 'fabric'),
 ('bandage', 'blade', 'fabric'),
 ('barn', 'house', 'cow'),
 ('barn', 'house', 'livestock'),
 ('barn', 'house', 'hay'),
 ('barn', 'house', 'farm'),
 ('barn', 'field', 'house'),
 ('barn', 'livestock', 'container'),
 ('barn', 'cow', 'container'),
 ('barn', 'horse', 'container'),
 ('barn', 'pig', 'container'),
 ('barn', 'hay', 'container'),
 ('barn', 'house', 'sheep'),
 ('barn', 'sheep', 'container'),
 ('barn', 'hay bale', 'container'),
 ('barn', 'house', 'goat'),
 ('barn', 'goat', 'container'),
 ('batter', 'milk', 'flour'),
 ('batter', 'flour', 'coconut milk'),
 ('beach', 'ocean', 'sand'),
 ('beach', 'sea', 'sand'),
 ('beach', 'sand', 'lake'),
 ('beach', 'water', 'sand'),
 ('beach', 'sand', 'wave'),
 ('beaver', 'wood', 'animal'),
 ('beaver', 'animal', 'dam'),
 ('beaver', 'animal', 'river'),
 ('beaver', 'animal', 'stream'),
 ('bee', 'animal', 'flower'),
 ('bee', 'animal', 'garden'),
 ('beehive', 'house', 'bee'),
 ('beehive', 'tree', 'bee'),
 ('beehive', 'forest', 'bee'),
 ('beehive', 'wall', 'bee'),
 ('beehive', 'wood', 'bee'),
 ('beehive', 'bee', 'container'),
 ('beer', 'wheat', 'alcohol'),
 ('bell', 'metal', 'sound'),
 ('bell', 'steel', 'sound'),
 ('bell', 'wood', 'sound'),
 ('bell', 'metal', 'hammer'),
 ('bell', 'steel', 'hammer'),
 ('big', 'universe', 'philosophy'),
 ('big', 'galaxy', 'philosophy'),
 ('big', 'galaxy cluster', 'philosophy'),
 ('big', 'solar system', 'philosophy'),
 ('big', 'sun', 'philosophy'),
 ('big', 'planet', 'philosophy'),
 ('birdcage', 'bird', 'container'),
 ('birdcage', 'bird', 'wall'),
 ('birdhouse', 'bird', 'house'),
 ('birdhouse', 'bird', 'wall'),
 ('birdhouse', 'egg', 'container'),
 ('black hole', 'pressure', 'star'),
 ('black hole', 'pressure', 'sun'),
 ('black hole', 'star', 'darkness'),
 ('black hole', 'sun', 'darkness'),
 ('blade', 'stone', 'metal'),
 ('blade', 'stone', 'steel'),
 ('blade', 'metal', 'rock'),
 ('blade', 'steel', 'rock'),
 ('blizzard', 'storm', 'snow'),
 ('blizzard', 'snow', 'hurricane'),
 ('blizzard', 'tornado', 'snow'),
 ('blizzard', 'wind', 'snow'),
 ('blizzard', 'snow', 'snow'),
 ('blizzard', 'snow', 'big'),
 ('blood', 'human', 'blade'),
 ('blood', 'sword', 'warrior'),
 ('blood bag', 'blood', 'container'),
 ('blood bag', 'blood', 'sack'),
 ('blood bag', 'blood', 'bottle'),
 ('boat', 'water', 'wood'),
 ('boat', 'ocean', 'wood'),
 ('boat', 'sea', 'wood'),
 ('boat', 'wood', 'lake'),
 ('boat', 'wood', 'river'),
 ('bone', 'time', 'corpse'),
 ('bone', 'corpse', 'vulture'),
 ('bone', 'corpse', 'wolf'),
 ('bone', 'meat', 'wolf'),
 ('bone', 'meat', 'vulture'),
 ('bonsai tree', 'tree', 'scissors'),
 ('bonsai tree', 'tree', 'pottery'),
 ('bonsai tree', 'tree', 'small'),
 ('book', 'paper', 'legend'),
 ('book', 'wood', 'paper'),
 ('book', 'story', 'container'),
 ('book', 'fairy tale', 'container'),
 ('book', 'legend', 'container'),
 ('book', 'idea', 'container'),
 ('bottle', 'milk', 'container'),
 ('bottle', 'water', 'container'),
 ('bottle', 'coconut milk', 'container'),
 ('bottle', 'juice', 'container'),
 ('bottle', 'oil', 'container'),
 ('bottle', 'alcohol', 'container'),
 ('bottle', 'wine', 'container'),
 ('bottle', 'beer', 'container'),
 ('bottle', 'chocolate milk', 'container'),
 ('bottle', 'perfume', 'container'),
 ('bottle', 'liquid', 'container'),
 ('boulder', 'big', 'rock'),
 ('boulder', 'small', 'hill'),
 ('boulder', 'rock', 'rock'),
 ('boulder', 'stone', 'rock'),
 ('boulder', 'earth', 'rock'),
 ('boulder', 'stone', 'big'),
 ('bow', 'wood', 'rope'),
 ('box', 'pencil', 'container'),
 ('box', 'cookie', 'container'),
 ('box', 'cake', 'container'),
 ('bread', 'fire', 'dough'),
 ('bread', 'dough', 'warmth'),
 ('bread', 'energy', 'dough'),
 ('brick', 'fire', 'mud'),
 ('brick', 'mud', 'sun'),
 ('brick', 'fire', 'clay'),
 ('brick', 'clay', 'sun'),
 ('brick', 'stone', 'clay'),
 ('bridge', 'wood', 'river'),
 ('bridge', 'metal', 'river'),
 ('bridge', 'steel', 'river'),
 ('bridge', 'wood', 'stream'),
 ('bridge', 'metal', 'stream'),
 ('bridge', 'steel', 'stream'),
 ('broom', 'wood', 'hay'),
 ('bucket', 'wood', 'container'),
 ('bucket', 'yogurt', 'container'),
 ('bucket', 'river', 'bottle'),
